date,pe1,sd1,pe3,sd3,pe5,sd5,log_ret,shift_ret,proj,ds1,ds3,ds5,shp1,shp3,shp5,symbol,hsi1,hsi3,hsi5,HSC,trade
2019-04-26,161.42344864052046,1.286807086643667,162.98129795685804,1.5000241151517433,162.77242242806034,1.6368623425644555,0.009198664470114082,0.01127023538852967,-0.009264630549500585,3,3,3,23223,23223,33323,V,0.28400355194930754,0.898715223386926,0.8536755612334082,0.8761953923101671,1
2019-04-29,163.25301938470912,0.6898477785786628,163.74567882548158,1.1051753399303441,162.8040635856018,1.5493326578933648,0.01127023538852967,0.0061944817131704966,-0.02016967332053771,3,3,3,32233,33223,32323,V,0.31484912344456256,0.9055712202317384,0.9211535399052153,0.9133623800684769,1
2019-04-30,164.26742584534452,0.7607234735494728,163.06188137169076,1.7914825834958104,162.12507678470138,2.139563036282026,0.0061944817131704966,-0.003358914386914158,-0.0354153372236548,3,2,2,22333,33222,32332,V,0.2968034108464467,0.5072153347886542,0.7660306558251031,0.40200937281755045,1
2019-05-01,163.71659124639106,1.6541513343839507,162.1666242326518,1.6010372414494456,161.2571756210004,2.003910390228993,-0.003358914386914158,-0.015480907558581336,-0.028289252914373283,2,2,2,23332,32232,32332,V,0.33750089124853333,1.0,0.7660306558251031,0.8830153279125516,1
2019-05-02,161.20162702333664,1.153060108532468,160.88045561059042,1.6501467068480298,160.5059092347479,1.4921093274120663,-0.015480907558581336,0.002354691846323753,-0.0263941493160865,1,1,1,33321,32231,33331,V,0.6146407313296368,0.5,0.5,0.5,1
2019-05-03,161.5816544282276,0.657267541105736,160.45588661175813,1.710613262175165,159.9555517429145,1.6531234213611035,0.002354691846323753,-0.010724159792095733,-0.01617369077325694,2,1,1,33212,32221,33231,V,0.6516619924201091,0.7356821295110528,0.23753301614981134,0.693672060965581,1
2019-05-06,159.85808538020706,2.4568200318781765,159.9154215740583,1.54530544114858,159.45625509533755,1.5972263310811732,-0.010724159792095733,0.0004367586233415821,0.0047308252238147715,2,1,1,32122,22321,23231,V,0.6557752046796791,0.5968434500728006,0.5,0.6263093273762399,1
2019-05-07,159.92792002683976,1.3128095032926779,159.44600630204593,1.306944764570693,158.87400746123348,1.6361149479963317,0.0004367586233415821,0.00020219120609610286,0.025207926782079393,2,1,1,21222,22311,23321,V,0.507961094948196,0.6551812301801129,0.4043324465681704,0.4561467707581832,1
2019-05-08,159.96025931512813,0.9945755030951674,159.16509002321365,1.434640911228406,158.68207999884035,1.6133928407671285,0.00020219120609610286,-0.009487331498568174,0.023434255473688027,2,2,1,12222,22212,23321,V,0.8115147269936,0.8591037411077866,0.4043324465681704,0.8353092340506933,1
2019-05-09,158.44983956416993,1.2510025908727886,158.1606193213998,1.5797828351163907,158.81289734436567,1.901727998384131,-0.009487331498568174,0.00400165306164002,0.030212443555760488,1,1,2,22221,23211,33312,V,1.0,0.6551812301801129,0.7516759699831773,0.7034286000816451,1
2019-05-10,159.08517119034283,1.859795551257969,158.33343370496792,1.7473555650507542,159.91480369658893,2.8089871514366753,0.00400165306164002,-0.013532531443381401,0.030176294290115764,2,2,2,22212,23112,32312,V,0.9902605219968001,0.5,0.5,0.5,1
2019-05-13,156.9468472096866,0.9547359071835984,158.8431586557718,2.191066828840658,160.8395312380316,3.0765346294662232,-0.013532531443381401,0.012797507319002754,0.04489779387952022,1,2,2,22121,22122,32312,V,0.5,0.8176033914221199,0.5,0.5,1
2019-05-14,158.9682827148742,1.7235261586106227,161.18066669430507,2.6898724931735853,162.09756107577863,2.414285845928213,0.012797507319002754,0.010301422770353952,0.02086933344835048,3,3,3,21213,32113,33213,V,0.5,0.2140653660883958,0.7471919078636878,0.6235959539318439,1
2019-05-15,160.61434604275448,2.1731153946317368,162.76084208853243,2.116484809844358,163.08105895947898,1.7441081906574782,0.010301422770353952,0.02061253600000512,0.011090966698712727,2,3,3,12132,31123,33213,V,0.08727529575886304,0.21406536608839574,0.7471919078636878,0.1506703309236294,0
2019-05-16,163.95937132528658,1.2602102992803537,163.63505887375484,1.0149695309130842,163.75687263207766,0.9302609157875887,0.02061253600000512,-0.0015293671567251366,-0.0008737826563114486,3,3,3,21323,21223,33123,V,0.5641028350125546,0.7532849402484835,0.23753301614981137,0.6586938876305191,0
2019-05-17,163.70880889755622,0.9260437706187868,163.61052580978466,0.8568563067464536,163.42216732993285,1.1646053149850504,-0.0015293671567251366,-0.002886183697791367,-0.007274143211442444,2,3,3,13232,21133,23123,V,0.4876745690890017,0.5,0.7493803675529167,0.4938372845445008,0
2019-05-20,163.23699639842172,0.9863143479588634,163.70539431251515,0.8995047771324588,163.15954843163163,1.1953936058696315,-0.002886183697791367,0.003966563308930304,-0.004419843580948214,2,3,3,32322,11233,23123,V,0.47965441962721456,0.5,0.7493803675529167,0.4898272098136073,0
2019-05-21,163.88577213337607,0.7495184141981328,163.38834378456212,1.3416120237352367,163.27537044600382,1.2495726148407653,0.003966563308930304,0.0006565971898062628,-0.017598591444743093,2,2,2,23222,12232,32132,V,0.5473080749911268,0.1285675774731752,0.30509793843173966,0.21683275795245743,0
2019-05-22,163.99341440574767,0.9927843661684331,162.8916578754535,1.3332049435400781,163.00180953466074,1.251537387009505,0.0006565971898062628,-0.010467016414861696,-0.02616224250554858,2,2,2,32222,11332,32132,V,0.682313238473382,0.5,0.30509793843173966,0.591156619236691,0
