symbol,equity,test_year,price,lowT,highT,trades,in_days,t-val,p-val,exp_ret,volatility,years,sharpe,beat_pct
AQN,ALGONQUIN POWER & UTIL CORP,2014,6.609906443,0.24375,0.65,21,141,1.020422443,0.308955173,22.20464196,0.117938927,0.994520548,1.59633312,16.24062806
AQN,ALGONQUIN POWER & UTIL CORP,2015,6.625976868,0.3625,0.73125,24,122,1.684168048,0.093817164,38.18040497,0.164178095,0.994520548,2.125177863,40.15469499
AQN,ALGONQUIN POWER & UTIL CORP,2016,7.465496904,0.44375,0.75,25,93,-1.250659422,0.212647494,14.50883013,0.122195396,0.989041096,0.914076401,9.534186892
AQN,ALGONQUIN POWER & UTIL CORP,2017,10.28869664,0.24375,0.775,15,164,1.040780586,0.299448646,29.55271467,0.108688878,0.98630137,2.434763301,17.54003458
AQN,ALGONQUIN POWER & UTIL CORP,2018,9.698913184,0.14375,0.66875,7,212,0.635061811,0.527299232,3.083310295,0.124160863,0.994520548,-0.032192251,19.79871963
AQN,ALGONQUIN POWER & UTIL CORP,2019,13.535,0.2125,0.6,11,161,-1.166218197,0.247081452,27.84347492,0.078140707,0.789041096,4.068012484,10.34911673
LNT,ALLIANT ENERGY CORP,2002,4.219837341,0.25625,0.7375,19,121,-0.642832225,0.521013045,-30.7469387,0.276183768,0.994520548,-1.246139247,-11.49619596
LNT,ALLIANT ENERGY CORP,2003,6.690721606,0.3,0.7375,17,133,0.980801687,0.327715893,42.52521504,0.125412473,0.994520548,3.130431351,31.28344246
LNT,ALLIANT ENERGY CORP,2004,8.007891084,0.1875,0.7,15,145,-0.467419029,0.640681435,11.52274604,0.083039696,0.997260274,0.969945977,12.72777737
LNT,ALLIANT ENERGY CORP,2005,8.121461715,0.40625,0.53125,22,206,0.104813385,0.916760725,8.061263265,0.114938542,0.989041096,0.404614906,0.492744543
LNT,ALLIANT ENERGY CORP,2006,11.41524345,0.35625,0.6875,16,112,0.6229022,0.533995091,21.48614578,0.078012144,0.98630137,2.343810015,10.75148171
LNT,ALLIANT ENERGY CORP,2007,12.71767826,0.23125,0.65625,18,172,0.566349692,0.572027828,16.38827607,0.146672487,0.991780822,0.887970934,15.04313274
LNT,ALLIANT ENERGY CORP,2008,9.351404972,0.25,0.625,15,132,-0.897639806,0.370390491,-23.75373175,0.201692855,0.997260274,-1.354484729,-11.46506066
LNT,ALLIANT ENERGY CORP,2009,10.48239524,0.275,0.75625,16,93,2.702275509,0.00755644,43.36706,0.124111628,0.994520548,3.231445561,20.02923762
LNT,ALLIANT ENERGY CORP,2010,13.24367507,0.25625,0.7625,9,145,-2.397308301,0.017510517,-4.679986057,0.143701073,0.989041096,-0.572844844,10.93602873
LNT,ALLIANT ENERGY CORP,2011,16.57727181,0.2625,0.76875,16,146,2.924547055,0.003837351,24.78710522,0.138062086,0.989041096,1.561743354,18.07352222
LNT,ALLIANT ENERGY CORP,2012,17.38334929,0.175,0.80625,4,223,1.920957937,0.060448202,15.95309009,0.100079175,0.994520548,1.253106448,0.415557113
LNT,ALLIANT ENERGY CORP,2013,21.35797057,0.20625,0.8125,9,158,0.21196076,0.832374109,6.307451976,0.09160507,0.994520548,0.310267081,-13.87549933
LNT,ALLIANT ENERGY CORP,2014,28.81516829,0.2375,0.68125,12,180,2.146998402,0.033500538,39.3835842,0.087349747,0.994520548,4.132876742,27.18972598
LNT,ALLIANT ENERGY CORP,2015,27.85915384,0.36875,0.65,14,169,0.933247325,0.352091366,8.042761925,0.117307828,0.994520548,0.391028862,11.20662374
LNT,ALLIANT ENERGY CORP,2016,34.90379306,0.325,0.73125,20,154,1.417438131,0.15802593,31.18192372,0.107018911,0.989041096,2.618923104,23.57149029
